City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Bushehr,IR,2022-09-22 17:07:25,28.9684,50.8385,91.74,55,0,1.23
248,Evensk,RU,2022-09-22 17:07:26,61.95,159.2333,38.97,60,100,13.56
249,Troitskoye,RU,2022-09-22 17:07:26,52.9821,84.6757,60.04,53,24,4.65
250,Lata,PT,2022-09-22 17:07:26,40.1629,-8.3327,78.93,39,60,7.36
251,Kushikino,JP,2022-09-22 17:07:27,31.7167,130.2667,72.09,86,100,3.22
252,Yar-Sale,RU,2022-09-22 17:07:27,66.8333,70.8333,37.63,63,99,25.26
253,Vestmannaeyjar,IS,2022-09-22 17:07:27,63.4427,-20.2734,49.19,87,75,14.97
254,Bubaque,GW,2022-09-22 17:07:28,11.2833,-15.8333,77.67,87,100,11.32
255,Saint-Philippe,RE,2022-09-22 17:07:28,-21.3585,55.7679,71.19,86,23,15.05
256,Kalabagh,PK,2022-09-22 17:07:29,32.965,71.557,92.77,33,0,2.24
257,Mandi Bahauddin,PK,2022-09-22 17:04:59,32.5834,73.4843,83.48,61,0,5.21
258,Abapo,BO,2022-09-22 17:07:29,-18.8333,-63.4667,60.06,56,100,5.17
259,Kahului,US,2022-09-22 17:07:30,20.8947,-156.47,79.84,73,20,10.0
260,Ilulissat,GL,2022-09-22 17:07:30,69.2167,-51.1,35.62,87,75,9.22
261,Matara,LK,2022-09-22 17:07:33,5.9485,80.5353,78.31,86,81,8.12
262,Kununurra,AU,2022-09-22 17:07:34,-15.7667,128.7333,78.78,78,40,5.75
263,Honningsvag,NO,2022-09-22 17:07:34,70.9821,25.9704,49.75,93,75,0.0
264,Broome,US,2022-09-22 17:07:35,42.2506,-75.833,65.46,68,75,16.11
265,Powell,US,2022-09-22 17:07:35,40.1578,-83.0752,65.61,57,75,19.57
266,Pacific Grove,US,2022-09-22 17:07:35,36.6177,-121.9166,70.41,78,0,5.01
267,Broken Hill,AU,2022-09-22 17:07:36,-31.95,141.4333,55.29,78,27,6.69
268,Hasaki,JP,2022-09-22 17:08:36,35.7333,140.8333,68.29,96,100,15.84
269,Tazmalt,DZ,2022-09-22 17:08:37,36.3868,4.3989,73.6,58,73,8.12
270,Ereymentau,KZ,2022-09-22 17:08:37,51.6199,73.1033,67.15,51,1,2.26
271,Alofi,NU,2022-09-22 17:08:37,-19.0595,-169.9187,76.46,81,4,23.94
272,Tashtagol,RU,2022-09-22 17:08:38,52.7657,87.8894,51.49,77,35,2.17
273,Chokurdakh,RU,2022-09-22 17:08:39,70.6333,147.9167,33.44,92,100,6.85
274,Martapura,ID,2022-09-22 17:08:39,-3.4167,114.85,78.89,78,75,2.3
275,Bahia De Caraquez,EC,2022-09-22 17:08:40,-0.6,-80.4167,77.18,80,100,7.34
276,Hashtrud,IR,2022-09-22 17:08:40,37.4779,47.0508,60.98,59,98,3.2
277,Moron,AR,2022-09-22 17:08:40,-34.6534,-58.6198,62.94,41,31,8.48
278,Saint-Francois,FR,2022-09-22 17:08:42,46.4154,3.9054,69.24,35,0,4.61
279,Vryheid,ZA,2022-09-22 17:08:42,-27.7695,30.7917,64.96,30,0,4.16
280,Nchelenge,ZM,2022-09-22 17:08:42,-9.3451,28.734,80.24,43,43,3.69
281,Shahrud,IR,2022-09-22 17:08:43,36.4182,54.9763,76.44,15,6,6.4
282,Saint George,US,2022-09-22 17:06:50,37.1041,-113.5841,80.26,51,20,5.75
283,Saskylakh,RU,2022-09-22 17:08:43,71.9167,114.0833,18.16,88,71,4.43
284,Denizli,TR,2022-09-22 17:08:44,37.8402,29.0698,60.01,51,45,7.23
285,Phalaborwa,ZA,2022-09-22 17:08:44,-23.943,31.1411,75.29,55,18,6.8
286,Meulaboh,ID,2022-09-22 17:08:45,4.1363,96.1285,77.47,83,100,4.88
287,Shenzhen,CN,2022-09-22 17:08:45,22.5455,114.0683,84.07,86,15,2.48
